id,name,artists,key,loudness,valence,tempo,duration_ms
1,God's Plan,Drake,7,-9.211,0.357,77.169,198973
2,SAD!,XXXTENTACION,8,-4.88,0.473,75.023,166606
3,rockstar (feat. 21 Savage),Post Malone,5,-6.09,0.14,159.847,218147
4,Psycho (feat. Ty Dolla $ign),Post Malone,8,-8.011,0.439,140.124,221440
5,In My Feelings,Drake,1,-5.833,0.35,91.03,217925
6,Better Now,Post Malone,10,-5.843,0.374,145.028,231267
7,I Like It,Cardi B,5,-3.998,0.65,136.048,253390
8,One Kiss (with Dua Lipa),Calvin Harris,9,-3.24,0.592,123.994,214847
9,IDGAF,Dua Lipa,7,-5.975,0.51,97.028,217947
10,FRIENDS,Marshmello,9,-2.384,0.534,95.079,202621
11,Havana,Camila Cabello,2,-4.333,0.394,104.988,217307
12,Lucid Dreams,Juice WRLD,6,-7.23,0.218,83.903,239836
13,Nice For What,Drake,8,-6.474,0.757,93.394,210747
14,Girls Like You (feat. Cardi B),Maroon 5,0,-6.825,0.448,124.959,235545
15,The Middle,Zedd,7,-3.061,0.437,107.01,184732
16,All The Stars (with SZA),Kendrick Lamar,8,-4.946,0.552,96.924,232187
17,no tears left to cry,Ariana Grande,9,-5.507,0.354,121.993,205920
18,X,Nicky Jam,9,-4.736,0.711,180.073,173628
19,Moonlight,XXXTENTACION,9,-5.723,0.711,128.009,135090
20,Look Alive (feat. Drake),BlocBoy JB,10,-7.495,0.595,140.022,181263
21,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0,-4.057,0.55,92.213,210773
22,Te Bot? - Remix,Nio Garcia,11,-3.445,0.442,96.507,417920
23,Mine,Bazzi,4,-3.874,0.717,142.929,131064
24,Youngblood,5 Seconds of Summer,7,-5.114,0.152,120.274,203418
25,New Rules,Dua Lipa,9,-6.021,0.608,116.073,209320
26,Shape of You,Ed Sheeran,1,-3.183,0.931,95.977,233713
27,Love Lies (with Normani),Khalid,6,-5.626,0.338,143.955,201707
28,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,10,-6.61,0.589,153.995,164205
29,Jocelyn Flores,XXXTENTACION,0,-9.144,0.437,134.021,119133
30,Perfect,Ed Sheeran,8,-6.312,0.168,95.05,263400
31,Taste (feat. Offset),Tyga,0,-7.442,0.342,97.994,232959
32,Solo (feat. Demi Lovato),Clean Bandit,11,-4.546,0.565,105.005,222653
33,I Fall Apart,Post Malone,8,-5.408,0.291,143.95,223347
34,Nevermind,Dennis Lloyd,3,-8.354,0.0796,99.976,156600
35,?chame La Culpa,Luis Fonsi,0,-3.655,0.649,96.024,173720
36,Eastside (with Halsey & Khalid),benny blanco,6,-7.648,0.319,89.391,173800
37,Never Be the Same,Camila Cabello,0,-4.333,0.243,129.923,226973
38,Wolves,Selena Gomez,11,-4.59,0.305,124.946,197993
39,changes,XXXTENTACION,11,-10.068,0.52,64.934,121887
40,In My Mind,Dynoro,6,-5.335,0.163,125.905,184560
41,River (feat. Ed Sheeran),Eminem,8,-5.916,0.659,90.09,221013
42,Dura,Daddy Yankee,1,-3.456,0.828,95,200480
43,SICKO MODE,Travis Scott,8,-3.714,0.446,155.008,312820
44,Thunder,Imagine Dragons,0,-4.833,0.288,167.997,187147
45,Me Niego,Reik,0,-4.449,0.768,94.023,221653
46,Jackie Chan,Ti?sto,3,-2.867,0.687,128.005,215760
47,Finesse (Remix) [feat. Cardi B],Bruno Mars,5,-4.877,0.926,105.115,217289
48,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,6,-4.856,0.508,102.061,207905
49,Let You Down,NF,5,-5.665,0.468,148.066,212120
50,Call Out My Name,The Weeknd,1,-4.929,0.172,134.045,228373
